               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.075617,             0.03814,             0.01159,             0.49329,             0.30595,             0.23228,            0.095402,            0.056661,            0.030008,            0.010665,            0.004796,            0.004796,            0.004796
                  57,            0.074943,            0.038539,            0.011498,             0.49116,             0.31043,             0.23275,            0.095685,            0.056264,            0.030027,            0.010666,           0.0046568,           0.0046568,           0.0046568
                  58,             0.07405,            0.038142,            0.011564,             0.49488,             0.30713,             0.23395,            0.096189,            0.055862,            0.030044,            0.010665,           0.0045184,           0.0045184,           0.0045184
                  59,            0.073778,            0.038434,             0.01157,             0.51135,             0.28939,             0.23424,            0.096552,            0.055499,            0.030057,            0.010664,           0.0043809,           0.0043809,           0.0043809
                  60,            0.073056,            0.038237,            0.011665,             0.49556,             0.30853,             0.23449,            0.096998,            0.055117,            0.030069,            0.010663,           0.0042445,           0.0042445,           0.0042445
                  61,            0.073541,              0.0384,            0.011513,             0.49434,             0.30915,             0.23418,            0.096966,            0.055375,            0.030021,            0.010663,           0.0041094,           0.0041094,           0.0041094
                  62,            0.070792,            0.039189,            0.011641,              0.4959,             0.30869,             0.23504,              0.0973,            0.055022,            0.030025,            0.010663,           0.0039757,           0.0039757,           0.0039757
                  63,            0.070364,            0.038746,            0.011505,             0.50066,             0.30287,             0.23559,            0.097702,            0.054688,            0.030027,            0.010663,           0.0038434,           0.0038434,           0.0038434
                  64,            0.069989,            0.039157,            0.011575,             0.50288,              0.3018,             0.23457,            0.097767,            0.054385,            0.030028,            0.010662,           0.0037128,           0.0037128,           0.0037128
                  65,            0.068726,            0.039541,             0.01151,             0.50542,             0.30112,             0.23564,            0.098229,            0.054059,            0.030028,            0.010662,            0.003584,            0.003584,            0.003584
                  66,            0.068597,            0.039572,            0.011474,             0.50681,             0.30326,             0.23721,             0.09875,            0.053713,            0.030027,            0.010661,            0.003457,            0.003457,            0.003457
                  67,             0.06707,            0.039399,            0.011534,             0.50904,             0.30161,             0.23734,            0.099243,            0.053399,            0.030021,             0.01066,           0.0033321,           0.0033321,           0.0033321
                  68,            0.066097,            0.039844,            0.011617,             0.50899,             0.30265,             0.23761,            0.099734,              0.0531,            0.030012,             0.01066,           0.0032093,           0.0032093,           0.0032093
                  69,            0.065783,            0.039661,             0.01158,             0.51075,             0.30109,             0.23816,             0.10017,            0.052825,            0.030005,             0.01066,           0.0030888,           0.0030888,           0.0030888
                  70,            0.064829,            0.040175,            0.011539,             0.51194,             0.29944,             0.23817,             0.10048,            0.052533,            0.029991,             0.01066,           0.0029706,           0.0029706,           0.0029706
                  71,            0.064115,            0.039711,            0.011652,             0.50964,             0.30548,              0.2392,             0.10093,            0.052246,            0.029983,             0.01066,            0.002855,            0.002855,            0.002855
                  72,            0.063015,            0.039988,              0.0115,              0.5096,             0.30571,             0.23922,             0.10128,            0.051973,            0.029969,             0.01066,           0.0027419,           0.0027419,           0.0027419
                  73,            0.062463,            0.040043,            0.011511,             0.51023,             0.30665,             0.23947,             0.10159,            0.051707,            0.029955,            0.010659,           0.0026316,           0.0026316,           0.0026316
                  74,            0.061397,            0.040397,            0.011535,              0.5125,             0.30542,             0.23932,             0.10199,             0.05145,            0.029934,            0.010659,           0.0025241,           0.0025241,           0.0025241
                  75,            0.060762,            0.040361,            0.011563,             0.51302,             0.30397,             0.23931,             0.10215,            0.051198,            0.029919,            0.010659,           0.0024195,           0.0024195,           0.0024195
                  76,            0.059921,            0.040105,            0.011467,             0.52133,              0.2957,             0.23969,             0.10261,            0.050951,              0.0299,            0.010659,            0.002318,            0.002318,            0.002318
