               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.020065,           0.0061861,           0.0016658,             0.80797,             0.59861,             0.66751,              0.3532,            0.017635,           0.0040207,           0.0010296,           0.0017478,           0.0017478,           0.0017478
                  53,            0.019991,           0.0061086,           0.0016427,             0.81989,             0.59681,             0.66835,             0.35372,            0.017621,            0.004018,           0.0010256,           0.0017036,           0.0017036,           0.0017036
                  54,                0.02,           0.0061331,           0.0016267,             0.81201,             0.59981,             0.66911,             0.35442,            0.017606,            0.004016,           0.0010212,           0.0016595,           0.0016595,           0.0016595
                  55,            0.019939,           0.0061244,           0.0016243,             0.81835,             0.59905,             0.66992,             0.35527,            0.017591,           0.0040136,           0.0010173,           0.0016155,           0.0016155,           0.0016155
                  56,            0.019854,           0.0061246,            0.001616,             0.82956,             0.59618,             0.67163,             0.35612,            0.017577,           0.0040108,           0.0010144,           0.0015717,           0.0015717,           0.0015717
                  57,            0.019794,            0.006122,           0.0016159,             0.77063,             0.62276,             0.67243,             0.35659,            0.017563,           0.0040094,           0.0010115,           0.0015282,           0.0015282,           0.0015282
                  58,            0.019718,           0.0061257,           0.0015985,             0.77251,             0.62356,             0.67331,              0.3576,            0.017548,           0.0040071,           0.0010084,           0.0014849,           0.0014849,           0.0014849
                  59,            0.019861,           0.0061276,           0.0016135,             0.77338,              0.6255,             0.67388,             0.35772,            0.017535,            0.004005,           0.0010055,           0.0014418,           0.0014418,           0.0014418
                  60,            0.019768,           0.0061052,           0.0015952,             0.78007,             0.62441,             0.67457,             0.35835,            0.017523,           0.0040028,           0.0010024,           0.0013992,           0.0013992,           0.0013992
                  61,            0.019677,            0.006093,           0.0015795,             0.78285,             0.62413,             0.67468,             0.35876,            0.017511,           0.0040003,          0.00099926,           0.0013569,           0.0013569,           0.0013569
                  62,            0.019654,           0.0060146,           0.0015623,             0.78757,             0.62333,             0.67514,             0.35897,              0.0175,            0.003998,          0.00099632,           0.0013151,           0.0013151,           0.0013151
                  63,            0.019656,           0.0060882,           0.0015771,             0.78866,             0.62294,             0.67655,             0.35952,            0.017488,           0.0039961,          0.00099346,           0.0012737,           0.0012737,           0.0012737
                  64,            0.019596,           0.0060452,           0.0015637,             0.78999,             0.62313,             0.67714,             0.36015,            0.017476,           0.0039938,          0.00099021,           0.0012328,           0.0012328,           0.0012328
                  65,            0.019591,           0.0059945,           0.0015471,             0.82218,             0.61376,             0.67769,             0.36059,            0.017464,           0.0039917,          0.00098693,           0.0011925,           0.0011925,           0.0011925
                  66,             0.01955,           0.0060484,           0.0015505,             0.81198,             0.61737,             0.67828,             0.36109,            0.017452,           0.0039895,          0.00098309,           0.0011528,           0.0011528,           0.0011528
                  67,            0.019519,           0.0060688,           0.0015571,             0.81378,             0.61758,             0.67915,             0.36148,             0.01744,           0.0039873,          0.00097954,           0.0011137,           0.0011137,           0.0011137
                  68,            0.019528,           0.0061076,           0.0015354,             0.82208,             0.61712,             0.68035,             0.36226,            0.017429,           0.0039854,          0.00097628,           0.0010753,           0.0010753,           0.0010753
                  69,            0.019478,            0.006005,           0.0015434,             0.82629,             0.61664,             0.68121,             0.36297,             0.01742,           0.0039841,          0.00097337,           0.0010376,           0.0010376,           0.0010376
                  70,            0.019446,           0.0059937,           0.0015229,             0.82689,             0.61786,             0.68161,             0.36319,             0.01741,           0.0039817,          0.00097003,           0.0010006,           0.0010006,           0.0010006
                  71,            0.019405,           0.0060143,           0.0015246,             0.80964,             0.62573,             0.68217,             0.36344,              0.0174,           0.0039801,          0.00096666,           0.0009644,           0.0009644,           0.0009644
                  72,            0.019417,           0.0060669,           0.0015135,              0.8263,             0.62038,             0.68241,              0.3637,            0.017388,           0.0039778,          0.00096352,          0.00092903,          0.00092903,          0.00092903
                  73,            0.019409,           0.0060121,           0.0015077,             0.82894,             0.62061,              0.6836,             0.36456,            0.017376,           0.0039755,          0.00096026,          0.00089451,          0.00089451,          0.00089451
                  74,            0.019352,           0.0060479,           0.0015059,             0.82918,             0.62192,             0.68439,             0.36489,            0.017365,           0.0039738,          0.00095728,          0.00086087,          0.00086087,          0.00086087
                  75,            0.019347,           0.0060263,           0.0015012,             0.79509,             0.63734,             0.68507,              0.3655,            0.017354,           0.0039718,          0.00095433,          0.00082816,          0.00082816,          0.00082816
                  76,            0.019316,           0.0059747,           0.0014868,             0.80186,             0.63681,             0.68579,             0.36612,            0.017343,             0.00397,          0.00095145,          0.00079639,          0.00079639,          0.00079639
                  77,            0.019239,           0.0060027,           0.0014685,             0.81416,              0.6339,             0.68654,             0.36652,            0.017332,            0.003968,          0.00094827,          0.00076561,          0.00076561,          0.00076561
                  78,            0.019263,           0.0059709,           0.0014908,             0.82483,             0.63121,             0.68738,             0.36706,            0.017323,           0.0039663,          0.00094524,          0.00073584,          0.00073584,          0.00073584
                  79,            0.019282,           0.0059747,           0.0014925,             0.82264,             0.63521,             0.68842,             0.36745,            0.017311,           0.0039642,          0.00094248,          0.00070712,          0.00070712,          0.00070712
                  80,            0.019251,           0.0060512,           0.0014767,             0.82563,             0.63487,             0.68907,             0.36836,            0.017299,           0.0039618,           0.0009393,          0.00067946,          0.00067946,          0.00067946
                  81,            0.019218,           0.0059947,           0.0014743,             0.82958,             0.63536,             0.69089,             0.36901,            0.017288,           0.0039599,           0.0009362,           0.0006529,           0.0006529,           0.0006529
                  82,            0.019148,           0.0060252,           0.0014574,             0.83484,             0.63477,              0.6913,             0.36948,            0.017277,           0.0039579,          0.00093329,          0.00062747,          0.00062747,          0.00062747
                  83,            0.019121,           0.0059416,           0.0014573,             0.83512,             0.63528,              0.6923,             0.36997,            0.017266,           0.0039559,          0.00093027,          0.00060319,          0.00060319,          0.00060319
                  84,            0.019116,           0.0059983,           0.0014581,             0.84049,               0.635,             0.69274,              0.3706,            0.017255,           0.0039537,          0.00092712,          0.00058008,          0.00058008,          0.00058008
                  85,            0.019092,           0.0059909,             0.00148,             0.84286,             0.63489,             0.69405,             0.37154,            0.017242,           0.0039513,          0.00092382,          0.00055816,          0.00055816,          0.00055816
                  86,            0.019155,           0.0060139,           0.0014556,             0.84166,             0.63659,             0.69401,             0.37184,            0.017232,           0.0039492,           0.0009208,          0.00053746,          0.00053746,          0.00053746
                  87,            0.019095,           0.0059109,           0.0014268,             0.84303,             0.63731,             0.69512,             0.37262,            0.017221,           0.0039476,           0.0009178,            0.000518,            0.000518,            0.000518
                  88,            0.019091,           0.0060257,           0.0014577,             0.84607,              0.6368,              0.6958,              0.3734,             0.01721,           0.0039454,          0.00091462,           0.0004998,           0.0004998,           0.0004998
                  89,            0.019084,           0.0059967,           0.0014301,             0.84604,             0.63726,             0.69652,             0.37409,              0.0172,           0.0039435,          0.00091155,          0.00048287,          0.00048287,          0.00048287
                  90,            0.019095,           0.0059867,           0.0014364,             0.84876,             0.63513,             0.69667,             0.37452,             0.01719,           0.0039418,          0.00090865,          0.00046724,          0.00046724,          0.00046724
                  91,            0.018976,           0.0059231,           0.0014518,             0.85049,             0.63491,             0.69769,             0.37495,             0.01718,           0.0039402,          0.00090552,          0.00045291,          0.00045291,          0.00045291
                  92,            0.019051,           0.0059503,           0.0014467,             0.85269,             0.63368,             0.69861,             0.37572,            0.017171,           0.0039386,          0.00090259,          0.00043991,          0.00043991,          0.00043991
                  93,            0.019082,           0.0059485,           0.0014407,             0.85413,             0.63327,             0.69877,             0.37619,             0.01716,            0.003937,          0.00089997,          0.00042823,          0.00042823,          0.00042823
                  94,            0.018923,            0.005916,           0.0014334,             0.85557,             0.63277,             0.69923,             0.37679,            0.017151,           0.0039351,          0.00089758,          0.00041791,          0.00041791,          0.00041791
                  95,            0.019033,           0.0059515,           0.0014258,             0.85591,             0.63239,             0.70004,              0.3775,            0.017142,           0.0039339,          0.00089506,          0.00040894,          0.00040894,          0.00040894
                  96,            0.018929,           0.0059013,           0.0014099,             0.82299,             0.65332,             0.70099,             0.37803,            0.017133,           0.0039324,          0.00089273,          0.00040133,          0.00040133,          0.00040133
                  97,             0.01899,           0.0059315,           0.0014277,             0.85745,             0.63323,             0.70176,             0.37846,            0.017123,           0.0039309,          0.00089052,           0.0003951,           0.0003951,           0.0003951
                  98,             0.01896,           0.0059072,           0.0014178,             0.83951,              0.6446,             0.70244,             0.37872,            0.017114,           0.0039292,          0.00088804,          0.00039025,          0.00039025,          0.00039025
                  99,            0.019017,           0.0059395,           0.0014134,             0.83858,             0.64565,             0.70266,             0.37906,            0.017104,           0.0039283,          0.00088567,          0.00038678,          0.00038678,          0.00038678
