               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.028542,            0.020509,            0.002287,              0.9025,             0.72055,             0.78112,                0.46,            0.028256,            0.015588,           0.0019234,           0.0026316,           0.0026316,           0.0026316
                  74,            0.028479,            0.020517,           0.0023218,             0.90295,             0.72158,              0.7825,             0.46133,            0.028218,            0.015564,           0.0019202,           0.0025241,           0.0025241,           0.0025241
                  75,            0.028213,            0.020399,           0.0021875,             0.90485,             0.72091,             0.78281,             0.46187,            0.028177,            0.015539,           0.0019171,           0.0024195,           0.0024195,           0.0024195
                  76,            0.028186,            0.020186,           0.0021899,             0.90558,             0.72114,             0.78493,             0.46299,            0.028138,            0.015512,           0.0019121,            0.002318,            0.002318,            0.002318
                  77,            0.028082,            0.019941,            0.002173,             0.88349,             0.74062,             0.78558,             0.46437,            0.028099,            0.015486,           0.0019073,           0.0022196,           0.0022196,           0.0022196
                  78,            0.027974,            0.019965,           0.0021622,             0.88343,             0.74098,              0.7864,             0.46524,             0.02806,            0.015462,           0.0019019,           0.0021245,           0.0021245,           0.0021245
                  79,            0.027812,            0.020006,           0.0021842,             0.89942,             0.72788,             0.78688,             0.46634,            0.028021,            0.015436,           0.0018966,           0.0020327,           0.0020327,           0.0020327
                  80,             0.02769,            0.019772,            0.002211,             0.89831,                0.73,             0.78696,             0.46709,            0.027982,            0.015412,           0.0018911,           0.0019443,           0.0019443,           0.0019443
                  81,            0.027501,            0.019729,           0.0021167,              0.8999,             0.72962,             0.78744,             0.46813,            0.027944,             0.01539,            0.001885,           0.0018594,           0.0018594,           0.0018594
                  82,            0.027379,            0.019825,           0.0021199,             0.89929,              0.7298,             0.78777,             0.46855,            0.027905,            0.015364,           0.0018781,           0.0017781,           0.0017781,           0.0017781
                  83,            0.027322,            0.019543,           0.0021767,             0.88749,              0.7405,             0.78827,              0.4697,            0.027866,            0.015338,           0.0018721,           0.0017005,           0.0017005,           0.0017005
                  84,            0.027225,            0.019496,           0.0020842,             0.90354,             0.72869,             0.78855,             0.47039,            0.027825,            0.015312,           0.0018657,           0.0016267,           0.0016267,           0.0016267
                  85,            0.027106,            0.019416,           0.0020817,             0.90657,             0.72821,             0.78863,              0.4709,            0.027781,             0.01529,           0.0018589,           0.0015566,           0.0015566,           0.0015566
                  86,            0.027096,            0.019391,            0.002124,             0.90646,             0.72919,             0.78896,              0.4719,             0.02774,            0.015263,           0.0018531,           0.0014905,           0.0014905,           0.0014905
                  87,             0.02696,            0.019475,           0.0020492,             0.90421,             0.73202,             0.78929,              0.4735,            0.027699,            0.015239,           0.0018474,           0.0014283,           0.0014283,           0.0014283
                  88,            0.026772,            0.019444,            0.002022,             0.90387,             0.73296,             0.78948,              0.4747,            0.027661,            0.015214,           0.0018415,           0.0013701,           0.0013701,           0.0013701
                  89,             0.02666,            0.019316,           0.0020672,             0.91003,             0.73072,             0.79025,             0.47594,            0.027621,            0.015191,           0.0018347,            0.001316,            0.001316,            0.001316
                  90,            0.026625,            0.019093,           0.0020307,             0.91046,             0.73172,             0.79116,              0.4769,            0.027582,            0.015166,           0.0018287,            0.001266,            0.001266,            0.001266
                  91,            0.026639,            0.019036,           0.0020035,             0.90761,             0.73613,             0.79143,             0.47847,            0.027541,            0.015142,            0.001822,           0.0012202,           0.0012202,           0.0012202
                  92,             0.02647,            0.018956,            0.002049,             0.90619,             0.73773,             0.79191,             0.47953,            0.027504,            0.015119,           0.0018153,           0.0011787,           0.0011787,           0.0011787
                  93,            0.026415,             0.01887,           0.0020097,             0.90576,             0.73749,              0.7922,             0.48055,            0.027467,            0.015096,           0.0018091,           0.0011414,           0.0011414,           0.0011414
                  94,            0.026234,               0.019,           0.0019549,             0.90192,              0.7434,             0.79259,             0.48184,            0.027428,            0.015073,           0.0018028,           0.0011084,           0.0011084,           0.0011084
                  95,            0.026261,            0.018895,            0.001964,             0.90251,             0.74406,             0.79322,              0.4831,            0.027389,            0.015048,           0.0017963,           0.0010797,           0.0010797,           0.0010797
                  96,            0.026231,            0.018595,           0.0019842,             0.90326,             0.74352,             0.79412,             0.48369,            0.027349,            0.015026,           0.0017902,           0.0010554,           0.0010554,           0.0010554
                  97,            0.026086,            0.018795,           0.0019618,             0.90401,             0.74362,             0.79456,             0.48486,            0.027309,            0.015001,           0.0017838,           0.0010355,           0.0010355,           0.0010355
                  98,            0.026084,            0.018736,           0.0019414,             0.90936,             0.74111,             0.79474,             0.48532,             0.02727,            0.014975,            0.001778,             0.00102,             0.00102,             0.00102
                  99,            0.026061,            0.018743,           0.0019843,             0.90813,             0.74339,             0.79523,             0.48619,             0.02723,            0.014952,           0.0017726,           0.0010089,           0.0010089,           0.0010089
